strategy,capital,final,tot_ret,mdd,calmar,avg_cash_pct,avg_zero_alloc,avg_held,fee
MARKET_ADV5M,10000,10753.943400000006,7.539434000000056,-3.2941516269946653,2.2887331409448404,92.83108406458062,216.11111111111111,15.555555555555555,6.4566
MARKET_ADV5M,20000,26206.34160000001,31.03170800000006,-9.116756342373124,3.403810174872173,59.60951085261997,125.11111111111111,106.55555555555556,44.05839999999999
MARKET_ADV5M,30000,45128.53440000001,50.42844800000004,-9.923950033836524,5.0814895105336175,38.20506240645074,53.666666666666664,178.11111111111111,92.66559999999997
MARKET_ADV5M,50000,82970.50759999998,65.94101519999998,-11.505917011407824,5.731052564921261,23.961571214958862,15.88888888888889,215.88888888888889,161.7924
MARKET_ADV5M,100000,178085.5898000001,78.08558980000011,-12.275103738573304,6.361297750553736,12.286645650519572,8.444444444444445,223.33333333333334,370.91020000000003
MARKET_ADV5M,200000,369983.31630000053,84.99165815000028,-12.668494091304902,6.7088998532457635,6.608571851886961,3.111111111111111,228.66666666666666,776.7837000000002
TRD_K10_ADV5M,10000,20053.12060000002,100.53120600000018,-22.132624461170273,4.542218035478498,6.702285772055468,0.0,10.0,184.3794
TRD_K10_ADV5M,20000,40483.48660000002,102.4174330000001,-22.374128442615028,4.577493745183391,3.2631108997864438,0.0,10.0,385.8134
TRD_K10_ADV5M,30000,60843.48080000006,102.81160266666687,-22.532701438494044,4.562773041097828,1.9506924853860825,0.0,10.0,587.7192
TRD_K10_ADV5M,50000,101732.87010000007,103.46574020000014,-22.688367164127232,4.5602990929902925,1.1410430227755082,0.0,10.0,990.0299
TRD_K10_ADV5M,100000,204358.02780000019,104.35802780000016,-22.75699186891645,4.585756694079667,0.5054953624937721,0.0,10.0,1996.7721999999999
TRD_K10_ADV5M,200000,409505.8992000003,104.75294960000015,-22.79286936198875,4.595864958305545,0.19747782893448618,0.0,10.0,4011.1008
ADAPT_K10_ADV5M,10000,14360.521200000014,43.60521200000014,-18.820364866652668,2.3169163992810318,5.72595100242218,0.2222222222222222,9.777777777777779,205.8788
ADAPT_K10_ADV5M,20000,28803.89170000003,44.019458500000155,-19.11722796671678,2.3026067679183573,3.74057150260788,0.2222222222222222,9.777777777777779,421.6083
ADAPT_K10_ADV5M,30000,43269.648700000034,44.23216233333345,-19.117983609552233,2.313641607644909,3.329839837251894,0.2222222222222222,9.777777777777779,635.8512999999999
ADAPT_K10_ADV5M,50000,72283.27490000009,44.56654980000019,-19.211074131766146,2.3198364388333665,2.7883546493706004,0.2222222222222222,9.777777777777779,1067.3251
ADAPT_K10_ADV5M,100000,144605.34250000012,44.60534250000012,-19.288377119177795,2.3125503107076075,0.8909311580628901,0.0,10.0,2183.9575000000004
ADAPT_K10_ADV5M,200000,289226.4063000004,44.61320315000019,-19.309438973131083,2.310434974940446,0.7114800551127903,0.0,10.0,4377.093699999999
TRD_K20_ADV5M,10000,19246.087000000014,92.46087000000014,-20.201283202371556,4.576980040017734,17.017838048272733,1.6666666666666667,18.333333333333332,139.41299999999998
